C6H6   [-1666.22] -1755.2365 (kcal/mol)
    1.C         1.206702   -0.696690    0.000000
    2.C         1.206702    0.696690    0.000000
    3.C         0.000000    1.393380    0.000000
    4.C        -1.206702    0.696690    0.000000
    5.C        -1.206702   -0.696690    0.000000
    6.C         0.000000   -1.393380    0.000000
    7.H         2.149958    1.241279    0.000000
    8.H         0.000000    2.482557    0.000000
    9.H        -2.149958    1.241279    0.000000
   10.H        -2.149958   -1.241279    0.000000
   11.H         0.000000   -2.482557    0.000000
   12.H         2.149958   -1.241279    0.000000


C6H5Cl   [-1626.09] -1722.0919 (kcal/mol)
    1.C         0.000000    0.000000   -0.231863
    2.C         0.000000    1.212756   -0.917098
    3.C         0.000000    1.203443   -2.308968
    4.C         0.000000    0.000000   -3.008887
    5.C         0.000000   -1.203443   -2.308968
    6.C         0.000000   -1.212756   -0.917098
    7.H         0.000000    2.151299   -0.368448
    8.H         0.000000    2.150503   -2.846252
    9.H         0.000000    0.000000   -4.097264
   10.H         0.000000   -2.150503   -2.846252
   11.H         0.000000   -2.151299   -0.368448
   12.Cl        0.000000    0.000000    1.499386
